"park","Network","metric","mean","lower95","upper95"
"ALPO","ERMN","stock_final",10.4318181818182,5.02244318181818,16.659375
"BLUE","ERMN","stock_final",18.98125,11.1875,28.56296875
"DEWA","ERMN","stock_final",47.4575,31.982765625,64.4505719321932
"FONE","ERMN","stock_final",35.4,18.5496875,55.9521875
"FRHI","ERMN","stock_final",14.55,7.435625,22.525625
"GARI","ERMN","stock_final",39.2916666666667,23.5648567275747,55.8609047078843
"JOFL","ERMN","stock_final",16.8333333333333,7.14479166666667,28.5026041666667
"NERI","ERMN","stock_final",34.5808823529412,26.4737745098039,43.2356004901961
"APCO","MIDN","stock_final",54.8601417520351,33.3440845172982,76.3437250938385
"BOWA","MIDN","stock_final",66.0086363045734,21.031636918106,136.553523480018
"COLO","NCBN","stock_final",26.1689757125801,10.8602111394459,47.3313781338147
"FRSP","MIDN","stock_final",31.1987814285923,22.4523662611924,39.4950207555535
"GETT","MIDN","stock_final",88.7328602082545,49.7283970467093,133.382037355476
"GEWA","NCBN","stock_final",11.8298225312815,2.61799387799149,27.2427868781713
"HOFU","MIDN","stock_final",51.4826597667887,11.7281750063318,119.813887609977
"PETE","MIDN","stock_final",35.2103827930091,23.3603002118282,49.2704212808804
"RICH","MIDN","stock_final",29.7108387916173,17.5217583577327,45.9339869297427
"SAHI","NCBN","stock_final",10.2687962205506,2.09439510239319,20.8189318610282
"THST","NCBN","stock_final",8.52802013560028,1.18786726116013,18.2471800247082
"VAFO","MIDN","stock_final",4.60577210907875,2.54232884092149,6.74042834300484
"ANTI","NCRN","stock_final",20.1059593289266,7.25442890848282,36.035303396162
"CATO","NCRN","stock_final",3.03902291938279,1.94288980770683,4.21976512839154
"CHOH","NCRN","stock_final",4.56475373828179,2.74060732330549,6.74389571384171
"GWMP","NCRN","stock_final",13.2454932286097,2.84306541393315,32.0937646940081
"HAFE","NCRN","stock_final",3.16894869856888,1.21199549656661,5.39653319767853
"MANA","NCRN","stock_final",11.5697472639643,2.83228326015819,26.1346088470056
"MONO","NCRN","stock_final",41.086668123832,2.86567505237197,114.383440687777
"NACE","NCRN","stock_final",27.0774995256338,11.9887279805903,47.049236122968
"PRWI","NCRN","stock_final",38.9640796833687,25.6716218486293,57.1454342687543
"ROCR","NCRN","stock_final",27.2345643702642,16.3566762502591,38.8506479993533
"WOTR","NCRN","stock_final",29.2121319487317,2.96705972839036,62.6564974896358
"ACAD","NETN","stock_final",61.3768939393939,50.1939393939394,73.1297348484848
"MABI","NETN","stock_final",62.25,32.2520833333334,94.5381944444445
"MIMA","NETN","stock_final",16.55,9.18333333333333,25.4391666666667
"MORR","NETN","stock_final",45.9166666666667,4.95029761904762,113.446726190476
"ROVA","NETN","stock_final",17.7333333333333,10.87375,25.3845833333333
"SAGA","NETN","stock_final",25.968253968254,12.3626984126984,43.0178571428571
"SARA","NETN","stock_final",17.2083333333333,3.0625,43.6270833333334
"WEFA","NETN","stock_final",6.90000000000001,3.13333333333333,11.0375
"ALPO","ERMN","Sap_Dens_Total",0.0678021262746799,0.0388732190641498,0.107579373689159
"BLUE","ERMN","Sap_Dens_Total",0.0601630867143994,0.0417536793953858,0.0870127287191726
"DEWA","ERMN","Sap_Dens_Total",0.0654335719968178,0.0472085111255756,0.085523031806199
"FONE","ERMN","Sap_Dens_Total",0.0596658711217184,0.0298329355608592,0.0934765314240254
"FRHI","ERMN","Sap_Dens_Total",0.0447494033412888,0.0188941925218775,0.0765712012728719
"GARI","ERMN","Sap_Dens_Total",0.118384664924044,0.0837078693755721,0.157269622340805
"JOFL","ERMN","Sap_Dens_Total",0.0662954123574649,0.039777247414479,0.0961283479183241
"NERI","ERMN","Sap_Dens_Total",0.0914486717519148,0.0783797011246822,0.106267646278878
"APCO","MIDN","Sap_Dens_Total",0.185709232401839,0.136018326679805,0.239200650192868
"BOWA","MIDN","Sap_Dens_Total",0.154757693668199,0.125243190661479,0.187183115198679
"COLO","NCBN","Sap_Dens_Total",0.117659750079652,0.0888060117275077,0.150599070638499
"FRSP","MIDN","Sap_Dens_Total",0.110314458563486,0.0963692597933844,0.123477365695265
"GETT","MIDN","Sap_Dens_Total",0.176865935620799,0.125020991664076,0.237312995537262
"GEWA","NCBN","Sap_Dens_Total",0.0722202570451598,0.0397948355146799,0.110578056832921
"HOFU","MIDN","Sap_Dens_Total",0.0257929489446999,0.01252800377314,0.0405317769130999
